business_id;name;rating;review_count;category;lat;lon;address;phone;category_source
WKMJwqnfZKsAae75RMP6jA;Roast Coffeehouse and Wine Bar;40;40;Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife;535460453;-1134991693;10359 104 Street NW;;restaurants
JX4tUpd09YFchLBuI43lGw;Naked Cyber Cafe & Espresso Bar;40;12;Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes;535446819;-113506589;10303  108 Street NW;;cafes
cVBxfMC4lp3DnocjYA3FHQ;Paws The Cat Cafe;50;20;Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food;535496333;-1135087799;10588 109 Street;;restaurants
mFTaYsRDyeFaY2NDLfSaAA;River City Games;45;5;Tabletop Games, Shopping, Sporting Goods;5,34893E+11;-1,13486E+12;5203 99 Street NW;;shopping
l6VYP8AxIoW6U52aDo8fXg;HMV Superstore;40;24;Home & Garden, Music & DVDs, Fashion, Accessories, Shopping, Home Decor, Books, Mags, Music & Video, Video Game Stores;535114948;-1136450474;8882 170th Street;;shopping
jcL_qaGJiappzpnn-ifSoA;Fat Jakks;40;8;Chinese, Restaurants, Filipino;535515508;-1134951554;10126 - 107 Avenue NW;;restaurants
JfGfqCnk0-Tnf6PlahPUJQ;Burger Village;40;10;Restaurants, Burgers;53436403;-113604288;6187 Currents Drive NW;;restaurants
JwBTq6IOFH97b9Hr6RT7pw;Reinette Café & Patisserie;30;5;Food, Coffee & Tea, Bakeries, Restaurants, Cafes;5,35226E+11;-11361922974;2890-8882 170 Street NW;;restaurants
QU6xxKwHXR6xQ5oi2yIKLw;Bulk Barn;40;33;Grocery, Food, Wholesale Stores, Fashion, Shopping, Department Stores;53517033;-113496687;8069 104 Street NW;;shopping
PXI7kvSV-NvWcqbI9jlmtg;Best Western Cedar Park Inn;30;17;Hotels, Event Planning & Services, Hotels & Travel;534885913;-1134935085;5116 Gateway Boulevard;;hotels
GpFRwCHN0RI8yFbcfXjfUg;V Sandwiches;35;9;Vietnamese, Sandwiches, Restaurants;535417173;-1134919398;10127 100A Street NW;;restaurants
lPPYZr1_jx0XeW-xR9WJtw;DOSC;40;87;Bars, Cocktail Bars, Coffee & Tea, Food, Restaurants, Cafes, Steakhouses, Nightlife, Tapas/Small Plates;5,35429E+11;-1,135E+12;10190 - 104 Street NW, Main Floor;;restaurants
jZoeTGRfhG9n_Jo6VMqwxw;Sushi Wasabi;40;57;Restaurants, Sushi Bars, Japanese;5,34946E+11;-1,13518E+11;5714 111 Street NW;;restaurants
O0YHVrUtxbsEhQ4qaWkVaw;Boston Pizza;25;6;Italian, Restaurants, Pizza;535695004;-113494179;10115 Princess Elizabeth Avenue NW;;restaurants
sOcGOqOeObtIBhuvcWuY8g;Gallagher's Pub;25;6;Bars, Nightlife, Dive Bars;535177345;-1134666105;8937 82 Avenue NW;;bars
RuBWR6CAgVi7iWR8LHUi6A;Lee House;40;30;Barbeque, Asian Fusion, Restaurants, Korean;53551925;-1134896661;10704 97 Street NW;;restaurants
qS4CaO_u_vMrTl31XJto1A;Szechuan Paramount Restaurant;30;25;Buffets, Restaurants, Chinese;535878652;-1134915257;12901 97 Street NW;;restaurants
8mElCveTpsBGuu9zOdLXbQ;Dream Tea House;40;30;Food, Juice Bars & Smoothies, Tea Rooms;535230582;-113623717;West Edmonton Mall, 8882 170th St;;bars
Ojd913yxClnEwQSthSd8XQ;BarBurrito - South Edmonton;35;8;Fast Food, Restaurants, Mexican;534531516;-11348298;2213 98th St NW;;restaurants
A6FDSdfwLPgl2T3ayKllqQ;Chili's Texas Grill;25;20;Sports Bars, Nightlife, Bars, Canadian (New), American (New), Tex-Mex, Restaurants;535399983;-1136163226;17020 100th Avenue;;restaurants
QehLpDI-ZdJJLu5dobDdxg;Mundare Sausage House;40;7;Ukrainian, Restaurants;53570634;-113416455;4824 118 Avenue NW;;restaurants
sVtPuuA57YjHAHVmN2gzpA;Sanctuary Curio Shoppe;30;21;Women's Clothing, Shopping, Costumes, Arts & Crafts, Men's Clothing, Spiritual Shop, Accessories, Fashion;53517448;-113495083;8118 Gateway Boulevard;;shopping
_v8Ccd70N6uXw8muQeyhOA;Moxie's Grill & Bar;35;52;Restaurants, Canadian (New), Steakhouses, Nightlife, American (New), American (Traditional), Bars, Lounges;535978212;-1135706935;13551 St Albert Trail;;restaurants
QK0GG-MVxdAS9_i47ynpHw;Penningtons;25;8;Men's Clothing, Accessories, Fashion, Lingerie, Shoe Stores, Shopping, Women's Clothing;535434644;-1136118408;320 Mayfield Common NW;;shopping
CyGxCUdTRGUPKGOgzC6Zug;Hudsons Canada's Pub;35;54;Chicken Wings, Canadian (New), Restaurants, Sports Bars, Pubs, Bars, Burgers, Nightlife;535178491;-1134951883;10307 Whyte Avenue;;restaurants
eJFw8xWcqyAno0SclR4uzg;Madison's Grill;40;51;American (New), Restaurants, Canadian (New), Breakfast & Brunch;535407845;-1134922256;10053 Jasper Avenue NW;;restaurants
2fTfpN5SggLgW4LlzptMPg;Tzin Wine & Tapas;45;116;Nightlife, Beer, Wine & Spirits, Tapas Bars, Wine Bars, Restaurants, Food, Bars;5,3541E+11;-1,13499E+12;10115 104 Street Northwest;;restaurants
HX4WDs6u5cYPe9WF30grvw;Laptop Depot;20;7;Shopping, Computers;534518863;-1134859568;2119-99 St NW;;shopping
l8uzbLGk9CLjElcWGyBZ0Q;Transcend Coffee - Ritchie Market;45;32;Food, Cafes, Coffee & Tea, Restaurants;5351263;-113476381;9570 76 Avenue NW, Ste 100;;restaurants
fgIAN_Y-hgPq6E-MPZk8vg;Panago Pizza;35;7;Chicken Wings, Pizza, Salad, Food, Food Delivery Services, Restaurants;534263416;-1135188169;11152 Ellerslie Road SW;;restaurants
xgPbILU4BRWZqedqyRotPg;Chili's Texas Grill;35;26;Sports Bars, Canadian (New), Nightlife, American (New), Bars, Tex-Mex, Restaurants;534672291;-113495033;10333 34th Avenue;;restaurants
