name;rating;review_count;category;lat;lon;address;phone;category_source
Ô'Cocher;50;6;Burgers, French, Wine Bars;4,88516E+14;2,31855E+14;45 rue de Babylone 75007 Paris France;+33 1 47 05 85 00;restaurants
NENI;50;6;French;488795065;23547303;12 boulevard de Denain 75010 Paris France;+33 1 42 80 82 34;restaurants
Miznon;50;6;Mediterranean, Fast Food, Middle Eastern;48872894;23425698;3 rue de la Grange Batelière 75009 Paris France;+33 1 42 74 83 58;restaurants
Il Quadrifoglio;50;7;Italian;488492012;23663001;19 bd Bourdon 75004 Paris France;+33 1 40 09 91 05;restaurants
Resto Today;50;6;Cafes, Breakfast & Brunch;48890948;2278801;55 rue de Villiers 92200 Neuilly-sur-Seine France;+33 1 47 57 30 82;restaurants
Louis;50;6;Bistros, French;48875061;23387899;23 rue de la Victoire 75009 Paris France;+33 1 55 07 86 52;restaurants
Le Café de la Mairie;50;7;Bistros;4886353;236097;96 rue des Archives 75003 Paris France;;restaurants
Chez Delphine;50;11;French;4,88772E+14;2,33733E+14;48 rue Saint-Georges 75009 Paris France;+33 1 42 81 35 94;restaurants
Coupi Bar;50;7;Bubble Tea, Cafes, Sandwiches;4,8821E+14;2,37004E+14;48 avenue de la Porte d'Ivry 75013 Paris France;+33 1 47 07 65 15;restaurants
La Haute Cloche;50;7;Bistros;4886941;230008;13 rue Quentin-Bauchart 75008 Paris France;+33 1 81 29 89 72;restaurants
Mr. T;50;6;Seafood, Burgers, Cocktail Bars;4886269;23636499;38 rue de Saintonge 75003 Paris France;+33 1 42 71 15 34;restaurants
Le Minos;50;6;Creperies;48853128;234532;22 rue de la Huchette 75005 Paris France;+33 1 42 39 95 67;restaurants
Florina;50;8;French;488375436;23452592;47 boulevard de Port Royal 75013 Paris France;+33 9 84 30 74 72;restaurants
Léandrés;50;5;Colombian, Cafes, Breakfast & Brunch;4887914;234801;78 rue de Maubeuge 75009 Paris France;+33 9 86 79 57 29;restaurants
Pâtisserie Emma Duvéré;50;5;Patisserie/Cake Shop, Breakfast & Brunch, Tea Rooms;488570112;23746172;41 rue Sedaine 75011 Paris France;+33 9 83 20 99 55;restaurants
Chez Meunier;50;5;Bakeries, Breakfast & Brunch;488830875;22741793;85 avenue du Roule 92200 Neuilly-sur-Seine France;;restaurants
Fricotin;50;6;Creperies;48880744;2299896;85bis avenue de Wagram 75017 Paris France;+33 9 73 58 55 24;restaurants
Grounded;50;6;Cafes, Breakfast & Brunch;488545089;2384102;101 rue de Charonne 75011 Paris France;+33 6 84 44 63 53;restaurants
Les Trublions;50;5;French, Modern European;488480186;234846;34 rue de la Montagne Sainte Geneviève 75005 Paris France;+33 1 42 02 87 83;restaurants
Méli Mel'Anges;50;5;French;48890543;228629;46 Rue Louis Rouquier 92300 Levallois-Perret France;+33 1 47 57 80 87;restaurants
Ricette Ristorante;50;9;Italian, Gluten-Free;48849105;2354031;10 rue du Cardinal Lemoine 75005 Paris France;+33 1 43 26 52 12;restaurants
Merci Jérôme;50;7;Bakeries, Breakfast & Brunch, Tea Rooms;488777597;2298876;270 rue du Faubourg Saint-Honoré 75008 Paris France;+33 7 81 86 16 01;restaurants
Ken Kawasaki;50;6;Japanese;4888722;233298;15 rue Caulaincourt 75018 Paris France;+33 9 70 95 98 32;restaurants
Le Coin d'Alexandre;50;8;French;48832253;2293413;86 rue Olivier de Serres 75015 Paris France;+33 1 42 50 21 07;restaurants
Abuela;50;9;Tapas Bars;4,88795E+14;2,33598E+14;43 rue Notre Dame de Lorette 75009 Paris France;+33 6 59 12 20 40;restaurants
Pasta Luna;50;6;Delicatessen, Sandwiches;488501731;23301594;15 rue de Mézières 75006 Paris 06 France;+33 1 45 44 32 02;restaurants
Sourire Le Restaurant;50;8;French;4883716;234203;15 rue de la Santé 75013 Paris France;+33 1 47 07 07 45;restaurants
India StreEAT;50;10;Indian;4884039;235183;105 rue Monge 75005 Paris France;+33 9 86 07 06 91;restaurants
Sorella;50;11;Italian;4887009;228307;13 avenue Bugeaud 75116 Paris France;+33 1 42 56 49 37;restaurants
